#,#,#,#,#,#,#,#
平凡的世界（全三部）,路遥 , 人民文学出版社 , 2005-1 ,9.0,"
        (104160人评价)
    ",《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广... 
#,#,#,#,#,#,#,#
局外人,[法] 阿尔贝·加缪 / 柳鸣九 , 上海译文出版社 , 2010-9 ,9.0,"
        (32795人评价)
    ",《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和... 
双峰: 神秘史,[美] 马克·弗罗斯特 / 胡逍扬 , 北京时代华文书局 , 2017-7-16 ,8.6,"
        (519人评价)
    ",☆殿堂级奇幻佳作，邪典巨制。全彩专色印刷，超过300张图文、100张彩色档案资料，包含共济会秘密图腾、神秘邪恶宗教手记、FBI绝密资料、凶案嫌疑人档案、真实... 
醒来的女性,[美] 玛丽莲·弗伦奇 / 余莉 , 北京联合出版公司 , 2017-7 ,8.8,"
        (912人评价)
    ","我们来认识一下米拉。
她是一位喜爱读书的小镇女孩，从小就是个独立而聪明的孩子。她十四岁读尼采和潘恩，开学第一天就学完了全部课本，学校只得让她跳级。可这是二十... "
卡拉马佐夫兄弟,[俄]陀思妥耶夫斯基 / 荣如德 , 上海译文出版社 , 2006-8 ,9.4,"
        (7593人评价)
    ",老卡拉马佐夫贪婪好色，独占妻子留给儿子们的遗产，并与长子德米特里为一个风流女子争风吃醋。一天黑夜，德米特里疑心自己的情人去跟老头儿幽会，便闯入家园，一怒之下... 
刀锋,[英]毛姆 / 周煦良 , 上海译文出版社 , 2007-3 ,9.0,"
        (27727人评价)
    ","威廉·萨默塞特·毛姆（1874-1965），英国著名小说家、戏剧家。《刀锋》是他的主要作品之一。
小说写一个参加第一次世界大战的美国青年飞行员拉里·达雷尔。... "
戴上手套擦泪,[瑞典] 乔纳斯·嘉德尔 / 郭腾坚 , 甘肃人民美术出版社 , 2017-5 ,8.0,"
        (1306人评价)
    ","★ 北欧版《霍乱时期的爱情》
★ 作者乔纳斯‧嘉德尔因为此书获选为年度风云人物，由瑞典王储亲自颁奖
★ 同名影集击败《冰与火之歌》荣膺欧洲电视大奖，豆瓣评分... "
你一生的故事,[美] 特德·姜 / 李克勤、王荣生、姚向辉 , 译林出版社 , 2015-5 ,8.6,"
        (10436人评价)
    ","一瞥之下，过去与未来轰轰然同时并至，
我的意识成为长达半个世纪的灰烬，时间未至已成灰。
五十年诸般纷纭并发眼底，我的余生尽在其中。
还有，你的一生。
《你一... "
欢迎来到猴子馆,[美] 库尔特·冯内古特 / 王宇光 / 中信出版集团,楚尘文化 , 2017-7-20 ,9.0,"
        (367人评价)
    ","【编辑推荐】
★冯内古特重要短篇小说集之一，问世50年首次引进中文版；楚尘文化“冯内古特黑色幽默作品系列”2017年重磅推出。
★ 村上春树、多丽丝·莱辛、... "
恋情的终结,[英] 格雷厄姆·格林 / 柯平 , 江苏凤凰文艺出版社 , 2017-4 ,8.1,"
        (4690人评价)
    ",二战期间的英国伦敦，作家莫里斯爱上公务员亨利的妻子萨拉。一次意外事件导致萨拉不辞而别， 莫里斯在恨和嫉妒中度过了两年。两年后 ，他们再次相遇，当初那段感情中... 
外婆的道歉信,[瑞典] 弗雷德里克·巴克曼 / 孟汇一 , 天津人民出版社 , 2017-5 ,8.1,"
        (5435人评价)
    ","2016年瑞典年度作家 美国亚马逊作家排名No.1
版权售出40国 遍布欧美几乎每家书店
上市10个月 全球总销量突破150万册
出版后持续霸占《纽约时报》... "
人生的枷锁,[英] 毛姆 / 张柏然、张增健、倪俊 , 上海译文出版社 , 2007-3 ,9.0,"
        (12399人评价)
    ","《人生的枷锁》是毛姆的代表作，具有明显的自传色彩。
小说主人公菲利普·凯里自幼父母双亡，不幸又先天残疾，在冷漠而陌生的环境中度过了童年，性格因此孤僻而敏感。... "
不能承受的生命之轻,[捷克] 米兰·昆德拉 / 许钧 , 上海译文出版社 , 2003-7 ,8.5,"
        (137628人评价)
    ",《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小... 
白鹿原,陈忠实 , 人民文学出版社 , 1997年 ,8.6,"
        (44712人评价)
    ",这是一部渭河平原五十年变迁的雄奇史诗，一轴中国农村班斓多彩、触目惊心的长幅画卷。主人公六娶六丧，神秘的序曲预示着不祥。一个家族两代子孙，为争夺白鹿原的统治代... 
