#,#,#,#,#,#,#,#
什么是数学,[美] R·柯朗 H·罗宾 著、I·斯图尔特 修订 / 左平、张饴慈 , 复旦大学出版社 , 2005-5 ,9.1,"
        (3049人评价)
    ",《什么是数学》既是为初学者也是为专家，既是为学生也是为教师，既是为哲学家也是为工程师而写的。它是一本世界著名的数学科普读物。书中搜集了许多经典的数学珍品，给... 
未来简史,[以色列] 尤瓦尔·赫拉利 / 林俊宏 , 中信出版社 , 2017-1 ,8.5,"
        (12904人评价)
    ",进入21世纪后，曾经长期威胁人类生存、发展的瘟疫、饥荒和战争已经被攻克，智人面临着新的待办议题：永生不老、幸福快乐和成为具有“神性”的人类。在解决这些新问题... 
数学之美,吴军 , 人民邮电出版社 , 2012-5-1 ,8.7,"
        (8379人评价)
    ",几年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... 
对伪心理学说不,基思•斯坦诺维奇 / 窦东徽、刘肖岑 , 人民邮电出版社 , 2012-1-1 ,9.2,"
        (2678人评价)
    ","《对""伪心理学""说不》第1版出版于1983年，20多年来一直被奉为心理学入门经典，在全球顶尖大学中享有盛誉，现在呈现在读者面前的是第8版。这本书并不同于一般... "
#,#,#,#,#,#,#,#
万物简史,[美] 比尔·布莱森 / 严维明、陈邕 , 接力出版社 , 2005-2 ,8.8,"
        (7033人评价)
    ",这是一部有关现代科学发展史的既通俗易懂又引人入胜的书，作者用清晰明了、幽默风趣的笔法，将宇宙大爆炸到人类文明发展进程中所发生的繁多妙趣横生的故事一一收入笔下... 
上帝的手术刀,王立铭 , 浙江人民出版社 , 2017-5-1 ,8.9,"
        (368人评价)
    ",·这本书从孟德尔神父的“豌豆试验”入手，用跌宕起伏、起承转合的文学讲述手法，在全书中埋下层层伏笔，抖出了一个又一个的重磅包袱，宛如一位智者在科学之树下摇着扇... 
七堂极简物理课,[意] 卡洛·罗韦利 / 文铮、陶慧慧 , 湖南科学技术出版社 , 2016-5 ,8.3,"
        (4632人评价)
    ",在本书中，意大利物理学家卡洛·罗韦利用诗一般简洁优美的语言向读者讲述了20世纪以来现代物理学的伟大理论发现。相对论、量子力学、宇宙的结构、空间的颗粒、时间的... 
文明之光（第一册）,吴军 , 人民邮电出版社 , 2014-6-25 ,9.0,"
        (2760人评价)
    ",人类的历史，是从野蛮蒙昧一步步走向文明进步的过程。在文明的进程中，人类创造出多元的文化，它们有着各自的特长。要实现人类和平发展的终极理想，一个重要的前提是承... 
发现之旅,托尼•赖斯 / 林洁盈 , 商务印书馆 , 2012-1-1 ,9.0,"
        (3599人评价)
    ","《发现之旅》，绝对值得您珍藏！——历史上最伟大的十次自然探险
蒐集伦敦自然史博物馆300余帧精美的珍藏画作/视觉上的一场饕餮盛宴/
世界历史上最著名的探险家... "
万万没想到,万维钢（同人于野） , 电子工业出版社 , 2014-10-1 ,8.2,"
        (7553人评价)
    ",本书精选了万维钢老师的文章和书评，以“用理工科思维理解世界”为导向。作者常用有趣的实验、数据来解读感性的事物，其理工科思维涉及行为经济学、认知心理学、社会学... 
智识分子,万维钢 , 电子工业出版社 , 2016-2-1 ,8.4,"
        (1841人评价)
    ","常识是我们的敌人，我们即将迎来一个“不换思想就换人”的时代。
这是一本关于如何理解现代世界的书，作者在这本书中讲了一些现代人应该有，而且只有现代人才可能有的... "
海错图笔记,张辰亮 , 中信出版社／中国国家地理·图书 , 2016-11-1 ,8.2,"
        (1852人评价)
    ","海错的“错”，是种类繁多、错杂的意思。
清代画家兼生物爱好者聂璜绘制的《海错图》，共描绘了300多种生物，几乎涵盖无脊椎动物门和脊索动物门的大部分主要类群，... "
别闹了，费曼先生,费曼 / 吴程远 , 生活·读书·新知三联书店 , 1997-12 ,8.9,"
        (6359人评价)
    ",费曼得过诺贝尔奖，是现代最伟大的理论物理学家之一。但他同时也可能是历史上唯一被按摩院请去画裸体画、偷偷打开放着原子弹机密文件的保险箱，在巴西桑巴乐团担任鼓手... 
