#,#,#,#,#,#,#,#
再一次,[加] 布莱恩·李·奥马利 / 梁梓聪 , 后浪丨北京联合出版公司 , 2017-7 ,7.7,"
        (201人评价)
    ","假如人生可以重来，你会如何抉择？
《纽约时报》畅销书作家布莱恩·李·奥马利最新杰作
《环太平洋》导演吉尔莫·德尔·托罗、《理解漫画》作者斯科特·麦克劳德倾力... "
卢浮宫的守护者,[日] 谷口治郎 编绘 / 伍楚 , 后浪丨北京联合出版公司 , 2017-6 ,8.2,"
        (186人评价)
    ","当卢浮宫遇见漫画
穿越梦幻的时空，神游艺术的历史
谷口治郎的诗意水彩
描绘对艺术、对生命的深刻解读
“这个不可思议的迷宫里，
住着一群它的守护者。
我们想让... "
酝酿之道,[法] 艾蒂安·达沃多 / 李喻雪 , 北京联合出版公司·后浪出版公司 , 2016-12 ,9.1,"
        (209人评价)
    ",一个印张是什么概念？什么是“生物动力法”葡萄酒？一本书的创作过程中编辑能决定些什么？风土和土壤怎样影响一款酒的品质？如何看待著名酒评人帕克和他的葡萄酒评分体... 
伊比库斯的预言,[法] 帕斯卡尔·拉巴泰 / 魏清凤 , 北京联合出版公司·后浪出版公司 , 2016-12 ,9.3,"
        (221人评价)
    ",小会计西梅翁·涅夫佐罗夫在探望母亲的途中偶然得到了吉卜赛巫师的预言：“当世界于火和血中崩塌，当战争重返家园，当兄弟互相残杀，你将经历一些非凡的冒险，而且你将... 
#,#,#,#,#,#,#,#
睡不着,Tango , 中信出版社 , 2014-1-1 ,8.9,"
        (3628人评价)
    ","除了音乐和文字，还有什么能让你感到轻松喜悦，嘴角上扬的？
新浪微博红人TANGO三年来夜夜一幅幽默画，陪伴无数睡不着的人度过无眠之夜。
源源不断的创意和坚持... "
半小时漫画中国史（修订版）,二混子 , 江苏凤凰文艺出版社 , 2017-4-10 ,7.6,"
        (2570人评价)
    ","看半小时漫画，通三千年历史，脉络无比清晰，看完就能倒背。
仅仅通过手绘和段子，二混子就捋出清晰的历史大脉络：春秋战国像个班级、大秦过把瘾就死、三国就三大战役... "
氯的滋味,[法] 巴斯蒂安·维韦斯 / 张鑫佳 , 北京联合出版公司·后浪出版公司 , 2016-4 ,8.5,"
        (975人评价)
    ","一段浅尝辄止的水中情缘
如同泳池里氯的滋味般持久不散
2009年法国安古兰国际漫画节新人奖作品
...................
※编辑推荐※
☆ 天... "
父与子全集,[德] 埃·奥·卜劳恩 绘 / 杨莹 , 中国工人出版社 , 2003-4 ,9.1,"
        (16348人评价)
    ","²内容简介²
1934年12月，第二次世界大战前夜的德国，到处充满了火药味，正是在这样的一个背景下，一套取材于日常生活反映父子间感情的漫画作品开始在《柏林画... "
万物：文明,[德] 延斯·哈德 / 徐峰 , 后浪丨北京联合出版公司 , 2017-8 ,8.8,"
        (196人评价)
    ","从智人走出非洲到古罗马帝国崛起
从驯服火种到发明轮子
一部来自人类智识又挑战人类智识上限的野心之作
“漫画宇宙史”三部曲第二部上卷
2000多幅手绘漫画诠释... "
